Designator,Mid X,Mid Y,Rotation,Layer
C1,63.9318,-40.1066,270,top
C10,44.5998,-40.4876,180,top
C11,56.5658,-39.3446,270,top
C12,56.5658,-37.4396,90,top
C13,43.1038,-38.8646,270,top
C14,44.3458,-34.1376,0,top
C15,32.4358,-37.3126,180,top
C16,53.3908,-30.9626,90,top
C17,62.2808,-36.2966,90,top
C18,60.7568,-36.8046,180,top
C19,68.5038,-33.2006,180,top
C2,49.7078,-39.5986,270,top
C20,62.1538,-30.4546,270,top
C21,69.2658,-38.8366,90,top
C22,43.2588,-32.1056,0,top
C3,58.8518,-37.5666,180,top
C4,50.7238,-39.5986,270,top
C5,51.7398,-39.5986,270,top
C6,46.7868,-38.5826,270,top
C7,42.8778,-36.2966,180,top
C8,42.8778,-35.2806,180,top
C9,52.7558,-39.3166,90,top
D1,34.2138,-34.2646,90,top
D2,61.6458,-39.2176,180,top
D3,63.5508,-35.5346,270,top
L2,44.7548,-32.6416,90,top
MK1,36.1188,-38.3286,90,top
R1,58.8518,-38.5826,180,top
R10,62.1538,-32.3576,270,top
R11,62.1538,-34.3916,270,top
R2,58.8518,-40.6146,180,top
R3,32.9438,-38.8366,270,top
R4,63.9318,-38.2016,270,top
R5,58.8518,-39.5986,180,top
R6,68.5038,-32.1446,180,top
R7,68.5038,-31.1286,180,top
R8,69.2658,-34.6456,270,top
R9,64.8208,-35.4076,270,top
RN1,34.3408,-31.3436,180,top
U2,58.3438,-32.8676,270,top
U3,66.7258,-38.7096,0,top
U4,65.2058,-31.8046,270,top
X1,54.9328,-38.5146,90,top
X2,44.8218,-38.4926,270,top
